utc_time,asset_id,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,z_score,z_anomaly,rolling_mean,rolling_std,rolling_anomaly,anomaly
2025-02-06 07:45:33.191000+00:00,2731,FW56-KT-FK,Faucet,Kichen,8998,1.0,5.998,1,43.25,1,1.5397238842925594,False,1.0904000000000003,1.743701949556966,True,True
2025-02-06 07:46:33.191000+00:00,2731,FW56-KT-FK,Faucet,Kichen,10857,0.0,7.238,1,52.0,1,1.8980093985776685,False,1.7520000000000002,2.594029683716025,True,True
2025-02-06 07:55:33.133000+00:00,2731,FW56-KT-FK,Faucet,Kichen,12573,1.0,8.382,1,60.25,1,2.228556679498769,False,2.5981,3.2665580407109216,True,True
2025-02-06 08:56:32.822000+00:00,2731,FW56-KT-FK,Faucet,Kichen,11375,1.0,7.583,1,56.25,1,1.9976936747295737,False,2.7109,2.9311195983787215,True,True
2025-02-06 10:15:32.425000+00:00,2731,FW56-KT-FK,Faucet,Kichen,8194,1.0,5.462,1,39.5,1,1.384852081343512,False,1.6395000000000004,1.9216053618437194,True,True
2025-02-06 12:10:31.739000+00:00,2731,FW56-KT-FK,Faucet,Kichen,10237,1.0,6.825,1,48.0,1,1.778677207126257,False,2.4010000000000002,2.2959574618591074,True,True
2025-02-06 19:27:29.352000+00:00,2731,FW56-KT-FK,Faucet,Kichen,12646,0.0,8.431,1,60.25,1,2.242714736111648,False,2.3799,2.9692523357460168,True,True
2025-02-06 10:00:57.068000+00:00,2143,FW21-BA3-T,WC,Bathroom - ground floor,7304,0.0,4.869,0,59.75,1,1.2135107023345848,False,1.9272000000000002,1.8222182330579249,True,True
2025-02-06 12:42:56.224000+00:00,2143,FW21-BA3-T,WC,Bathroom - ground floor,8795,0.0,5.863,0,60.0,1,1.5007169936244225,False,2.5908,2.0342018800720663,True,True
2025-02-06 12:46:56.199000+00:00,2143,FW21-BA3-T,WC,Bathroom - ground floor,10662,0.0,7.108,0,59.75,1,1.860447207563907,False,2.7889000000000004,2.6750233830753394,True,True
2025-02-06 15:52:47.300000+00:00,2806,FW19-KT1-D,Dishwasher,Dishwasher ,42202,12.0,28.135,0,726.0,1,7.9359871340743835,True,5.220400000000001,8.353404684451844,True,True
2025-02-06 22:48:52.761000+00:00,2806,FW19-KT1-D,Dishwasher,Dishwasher ,21996,4.0,14.664,0,385.25,1,4.0436773252560725,True,6.1435,8.873365730594488,False,True
2025-02-06 12:38:01.904000+00:00,3154,FW10-KT-FK,Faucet,Kitchen,13401,0.0,8.934,1,60.25,1,2.3880515213418176,False,1.2811000000000003,2.708304367024566,True,True
2025-02-06 17:32:02.060000+00:00,2729,FW34-KT1-W,Laundry,Kitchen - utility room ,3,0.0,0.002,0,0.0,1,-0.1927599412344687,False,0.0012000000000003553,0.00042163693284165323,True,True
2025-02-06 19:49:01.347000+00:00,2729,FW34-KT1-W,Laundry,Kitchen - utility room ,7077,2.0,4.718,0,37.25,1,1.1698807727724465,False,0.4727000000000004,1.491646372301395,True,True
2025-02-06 19:50:01.340000+00:00,2729,FW34-KT1-W,Laundry,Kitchen - utility room ,5483,4.0,3.656,0,29.5,1,0.863026566183103,False,0.8382000000000003,1.7826346170142888,True,True
2025-02-06 22:01:00.699000+00:00,2729,FW34-KT1-W,Laundry,Kitchen - utility room ,2743,1.0,1.828,0,13.75,1,0.33484437254344207,False,0.5844000000000003,0.7013544356773928,True,True
