asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,reconstruction_error,anomaly_autoencoder
2657,2025-02-01 03:03:27.739000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:05:27.730000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:06:27.730000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:08:27.723000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:09:27.696000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:11:27.691000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:12:27.691000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:14:27.681000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:15:27.675000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:17:27.668000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:18:27.668000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:20:27.642000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:21:27.633000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:23:27.626000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
